Loaded: C:\Users\mit\claude\c64server\SIDM2\SID\stinsen_test.sf2 @ $0D7E
Mem[$0E00]: 4C 92 14 4C 9B 14   (INIT)
Mem[$0E06]: A9 00 2C 81 15 30   (PLAY)
Calling INIT @ $0E00...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
Running 300 frames via PLAY @ $0E06...
frame,cycle,register,old_val,new_val
--- Frame 0: 0 SID changes ---
1,1663,osc2_pw_lo,$00,$E9
1,1933,osc1_pw_lo,$00,$F0
1,2031,filter_freq_hi,$00,$E0
1,2049,filter_mode_volume,$00,$0F
--- Frame 1: 4 SID changes ---
2,2319,osc1_pw_lo,$F0,$00
2,2661,osc2_pw_lo,$E9,$D2
2,2668,osc2_pw_hi,$00,$01
2,3009,osc1_pw_lo,$00,$E0
2,3016,osc1_pw_hi,$00,$01
--- Frame 2: 5 SID changes ---
3,3347,osc1_pw_lo,$E0,$00
3,3354,osc1_pw_hi,$01,$00
3,3616,osc2_pw_lo,$D2,$BB
3,3623,osc2_pw_hi,$01,$02
3,3851,osc1_pw_lo,$00,$D0
3,3858,osc1_pw_hi,$00,$02
--- Frame 3: 6 SID changes ---
4,4201,osc1_pw_lo,$D0,$00
4,4208,osc1_pw_hi,$02,$00
4,4430,osc2_pw_lo,$BB,$A4
4,4437,osc2_pw_hi,$02,$03
4,4705,osc1_pw_lo,$00,$C0
4,4712,osc1_pw_hi,$00,$03
--- Frame 4: 6 SID changes ---
5,5077,osc1_pw_lo,$C0,$00
5,5084,osc1_pw_hi,$03,$00
5,5337,osc2_pw_lo,$A4,$8D
5,5344,osc2_pw_hi,$03,$04
5,5563,osc1_pw_lo,$00,$B0
5,5570,osc1_pw_hi,$00,$04
5,5580,osc1_control,$00,$F2
--- Frame 5: 7 SID changes ---
6,5909,osc1_pw_lo,$B0,$00
6,5916,osc1_pw_hi,$04,$00
6,5926,osc1_control,$F2,$00
6,6129,osc2_pw_lo,$8D,$76
6,6136,osc2_pw_hi,$04,$05
6,6395,osc1_pw_lo,$00,$A0
6,6402,osc1_pw_hi,$00,$05
6,6412,osc1_control,$00,$F2
--- Frame 6: 8 SID changes ---
7,6701,osc1_pw_lo,$A0,$00
7,6708,osc1_pw_hi,$05,$00
7,6718,osc1_control,$F2,$00
7,6961,osc2_pw_lo,$76,$5F
7,6968,osc2_pw_hi,$05,$06
7,7187,osc1_pw_lo,$00,$90
7,7194,osc1_pw_hi,$00,$06
7,7204,osc1_control,$00,$F2
--- Frame 7: 8 SID changes ---
8,7533,osc1_pw_lo,$90,$00
8,7540,osc1_pw_hi,$06,$00
8,7550,osc1_control,$F2,$00
8,7753,osc2_pw_lo,$5F,$48
8,7760,osc2_pw_hi,$06,$07
8,8019,osc1_pw_lo,$00,$80
8,8026,osc1_pw_hi,$00,$07
8,8036,osc1_control,$00,$F2
--- Frame 8: 8 SID changes ---
9,8325,osc1_pw_lo,$80,$00
9,8332,osc1_pw_hi,$07,$00
9,8342,osc1_control,$F2,$00
9,8585,osc2_pw_lo,$48,$31
9,8592,osc2_pw_hi,$07,$08
9,8811,osc1_pw_lo,$00,$70
9,8818,osc1_pw_hi,$00,$08
9,8828,osc1_control,$00,$F2
--- Frame 9: 8 SID changes ---
10,9157,osc1_pw_lo,$70,$00
10,9164,osc1_pw_hi,$08,$00
10,9174,osc1_control,$F2,$00
10,9377,osc2_pw_lo,$31,$1A
10,9384,osc2_pw_hi,$08,$09
10,9643,osc1_pw_lo,$00,$60
10,9650,osc1_pw_hi,$00,$09
10,9660,osc1_control,$00,$F2
--- Frame 10: 8 SID changes ---
11,9949,osc1_pw_lo,$60,$00
11,9956,osc1_pw_hi,$09,$00
11,9966,osc1_control,$F2,$00
11,10209,osc2_pw_lo,$1A,$03
11,10216,osc2_pw_hi,$09,$0A
11,10435,osc1_pw_lo,$00,$50
11,10442,osc1_pw_hi,$00,$0A
11,10452,osc1_control,$00,$F2
--- Frame 11: 8 SID changes ---
12,10781,osc1_pw_lo,$50,$00
12,10788,osc1_pw_hi,$0A,$00
12,10798,osc1_control,$F2,$00
12,11001,osc2_pw_lo,$03,$EC
12,11227,osc1_pw_lo,$00,$40
12,11234,osc1_pw_hi,$00,$0B
12,11244,osc1_control,$00,$F2
--- Frame 12: 7 SID changes ---
13,11573,osc1_pw_lo,$40,$00
13,11580,osc1_pw_hi,$0B,$00
13,11590,osc1_control,$F2,$00
13,11793,osc2_pw_lo,$EC,$D5
13,11840,osc2_pw_hi,$0A,$0B
13,12059,osc1_pw_lo,$00,$30
13,12066,osc1_pw_hi,$00,$0C
13,12076,osc1_control,$00,$F2
--- Frame 13: 8 SID changes ---
14,12405,osc1_pw_lo,$30,$00
14,12412,osc1_pw_hi,$0C,$00
14,12422,osc1_control,$F2,$00
14,12625,osc2_pw_lo,$D5,$BE
14,12632,osc2_pw_hi,$0B,$0C
14,12851,osc1_pw_lo,$00,$20
14,12858,osc1_pw_hi,$00,$0D
14,12868,osc1_control,$00,$F2
--- Frame 14: 8 SID changes ---
15,13197,osc1_pw_lo,$20,$00
15,13204,osc1_pw_hi,$0D,$00
15,13214,osc1_control,$F2,$00
15,13417,osc2_pw_lo,$BE,$A7
15,13424,osc2_pw_hi,$0C,$0D
15,13683,osc1_pw_lo,$00,$10
15,13690,osc1_pw_hi,$00,$0E
15,13700,osc1_control,$00,$F2
--- Frame 15: 8 SID changes ---
16,13989,osc1_pw_lo,$10,$00
16,13996,osc1_pw_hi,$0E,$00
16,14006,osc1_control,$F2,$00
16,14249,osc2_pw_lo,$A7,$90
16,14256,osc2_pw_hi,$0D,$0E
16,14482,osc1_pw_hi,$00,$0F
16,14492,osc1_control,$00,$F2
--- Frame 16: 7 SID changes ---
17,14828,osc1_pw_hi,$0F,$00
17,14838,osc1_control,$F2,$00
17,15041,osc2_pw_lo,$90,$79
17,15048,osc2_pw_hi,$0E,$0F
17,15307,osc1_pw_lo,$00,$F0
17,15314,osc1_pw_hi,$00,$0F
17,15324,osc1_control,$00,$F2
--- Frame 17: 7 SID changes ---
18,15613,osc1_pw_lo,$F0,$00
18,15620,osc1_pw_hi,$0F,$00
18,15630,osc1_control,$F2,$00
18,15873,osc2_pw_lo,$79,$62
18,15880,osc2_pw_hi,$0F,$10
18,16099,osc1_pw_lo,$00,$E0
18,16106,osc1_pw_hi,$00,$10
18,16116,osc1_control,$00,$F2
--- Frame 18: 8 SID changes ---
19,16445,osc1_pw_lo,$E0,$00
19,16452,osc1_pw_hi,$10,$00
19,16462,osc1_control,$F2,$00
19,16665,osc2_pw_lo,$62,$4B
19,16672,osc2_pw_hi,$10,$11
19,16931,osc1_pw_lo,$00,$D0
19,16938,osc1_pw_hi,$00,$11
19,16948,osc1_control,$00,$F2
--- Frame 19: 8 SID changes ---
20,17237,osc1_pw_lo,$D0,$00
20,17244,osc1_pw_hi,$11,$00
20,17254,osc1_control,$F2,$00
20,17497,osc2_pw_lo,$4B,$34
20,17504,osc2_pw_hi,$11,$12
20,17723,osc1_pw_lo,$00,$C0
20,17730,osc1_pw_hi,$00,$12
20,17740,osc1_control,$00,$F2
--- Frame 20: 8 SID changes ---
21,18069,osc1_pw_lo,$C0,$00
21,18076,osc1_pw_hi,$12,$00
21,18086,osc1_control,$F2,$00
21,18289,osc2_pw_lo,$34,$1D
21,18296,osc2_pw_hi,$12,$13
21,18555,osc1_pw_lo,$00,$B0
21,18562,osc1_pw_hi,$00,$13
21,18572,osc1_control,$00,$F2
--- Frame 21: 8 SID changes ---
22,18861,osc1_pw_lo,$B0,$00
22,18868,osc1_pw_hi,$13,$00
22,18878,osc1_control,$F2,$00
22,19121,osc2_pw_lo,$1D,$06
22,19128,osc2_pw_hi,$13,$14
22,19347,osc1_pw_lo,$00,$A0
22,19354,osc1_pw_hi,$00,$14
