frame,cycle,register,old_val,new_val
1,1415,osc3_freq_lo,$00,$16
1,1422,osc3_freq_hi,$00,$01
1,1436,osc3_attack_decay,$00,$0F
1,1460,osc3_control,$00,$20
1,1627,osc2_freq_lo,$00,$16
1,1634,osc2_freq_hi,$00,$01
1,1648,osc2_attack_decay,$00,$0F
1,1672,osc2_control,$00,$20
1,1879,osc1_freq_lo,$00,$16
1,1886,osc1_freq_hi,$00,$01
1,1900,osc1_attack_decay,$00,$0F
1,1924,osc1_control,$00,$20
1,2023,filter_mode_volume,$00,$0F
2,2838,osc2_pw_hi,$00,$88
3,3548,osc3_freq_lo,$16,$00
3,3555,osc3_freq_hi,$01,$00
3,3593,osc3_control,$20,$40
3,3786,osc2_freq_lo,$16,$00
3,3793,osc2_freq_hi,$01,$00
3,3831,osc2_control,$20,$40
3,3949,osc1_freq_lo,$16,$00
3,3956,osc1_freq_hi,$01,$00
3,3994,osc1_control,$20,$40
4,4398,osc3_sustain_release,$00,$3A
4,4405,osc3_attack_decay,$0F,$20
4,4429,osc3_control,$40,$01
4,4690,osc2_pw_lo,$00,$70
4,4697,osc2_pw_hi,$88,$81
4,5085,osc1_sustain_release,$00,$25
4,5092,osc1_attack_decay,$0F,$A0
4,5116,osc1_control,$40,$01
5,5446,osc3_freq_lo,$00,$8C
5,5453,osc3_freq_hi,$00,$3A
5,5481,osc3_pw_hi,$00,$88
5,5491,osc3_control,$01,$15
5,5699,osc2_pw_lo,$70,$B0
5,5947,osc1_freq_lo,$00,$66
5,5954,osc1_freq_hi,$00,$2E
5,5982,osc1_pw_hi,$00,$88
5,5992,osc1_control,$01,$13
6,6320,osc3_freq_lo,$8C,$9C
6,6327,osc3_freq_hi,$3A,$0B
6,6365,osc3_control,$15,$40
6,6580,osc2_pw_lo,$B0,$F0
6,6951,osc1_freq_lo,$66,$5A
7,7334,osc3_pw_lo,$00,$70
7,7341,osc3_pw_hi,$88,$81
7,7599,osc2_pw_lo,$F0,$30
7,7606,osc2_pw_hi,$81,$82
7,7829,osc1_freq_lo,$5A,$4E
7,7857,osc1_pw_lo,$00,$70
7,7864,osc1_pw_hi,$88,$81
8,8228,osc3_pw_lo,$70,$B0
8,8463,osc2_pw_lo,$30,$70
8,8729,osc1_freq_lo,$4E,$42
8,8757,osc1_pw_lo,$70,$B0
