Loaded: SID/unboxed_laxity_fresh.sf2 @ $0D7E
Mem[$0D80]: 4C 89 0D 4C 91 0D   (INIT)
Mem[$0D83]: 4C 91 0D 4C 9B 0D   (PLAY)
Calling INIT @ $0D80...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
Running 300 frames via PLAY @ $0D83...
frame,cycle,register,old_val,new_val
0,1771,osc2_freq_lo,$00,$27
0,1778,osc2_freq_hi,$00,$01
0,1799,osc2_pw_lo,$00,$65
0,2042,osc1_freq_lo,$00,$27
0,2049,osc1_freq_hi,$00,$01
0,2070,osc1_pw_lo,$00,$7E
0,2186,filter_mode_volume,$00,$0F
--- Frame 0: 7 SID changes ---
1,2475,osc1_freq_lo,$27,$00
1,2482,osc1_freq_hi,$01,$00
1,2503,osc1_pw_lo,$7E,$00
1,2814,osc2_pw_lo,$65,$CA
1,3133,osc1_freq_lo,$00,$27
1,3140,osc1_freq_hi,$00,$01
1,3161,osc1_pw_lo,$00,$FC
--- Frame 1: 7 SID changes ---
2,3478,osc1_freq_lo,$27,$00
2,3485,osc1_freq_hi,$01,$00
2,3546,osc1_pw_lo,$FC,$00
2,3786,osc2_pw_lo,$CA,$2F
2,3793,osc2_pw_hi,$00,$01
2,3994,osc1_freq_lo,$00,$27
2,4001,osc1_freq_hi,$00,$01
2,4022,osc1_pw_lo,$00,$7A
2,4029,osc1_pw_hi,$00,$01
--- Frame 2: 9 SID changes ---
3,4351,osc1_freq_lo,$27,$00
3,4358,osc1_freq_hi,$01,$00
3,4379,osc1_pw_lo,$7A,$00
3,4386,osc1_pw_hi,$01,$00
3,4659,osc2_pw_lo,$2F,$94
3,4867,osc1_freq_lo,$00,$27
3,4874,osc1_freq_hi,$00,$01
3,4895,osc1_pw_lo,$00,$F8
3,4902,osc1_pw_hi,$00,$01
--- Frame 3: 9 SID changes ---
4,5286,osc1_freq_lo,$27,$00
4,5293,osc1_freq_hi,$01,$00
4,5314,osc1_pw_lo,$F8,$00
4,5321,osc1_pw_hi,$01,$00
4,5545,osc2_pw_lo,$94,$F9
4,5784,osc1_freq_lo,$00,$27
4,5791,osc1_freq_hi,$00,$01
4,5812,osc1_pw_lo,$00,$76
4,5819,osc1_pw_hi,$00,$02
4,5829,osc1_control,$00,$20
--- Frame 4: 10 SID changes ---
5,6097,osc1_freq_lo,$27,$00
5,6104,osc1_freq_hi,$01,$00
5,6125,osc1_pw_lo,$76,$00
5,6132,osc1_pw_hi,$02,$00
5,6142,osc1_control,$20,$00
5,6396,osc2_pw_lo,$F9,$5E
5,6403,osc2_pw_hi,$01,$02
5,6595,osc1_freq_lo,$00,$27
5,6602,osc1_freq_hi,$00,$01
5,6623,osc1_pw_lo,$00,$F4
5,6630,osc1_pw_hi,$00,$02
5,6640,osc1_control,$00,$20
--- Frame 5: 12 SID changes ---
6,6948,osc1_freq_lo,$27,$00
6,6955,osc1_freq_hi,$01,$00
6,6976,osc1_pw_lo,$F4,$00
6,6983,osc1_pw_hi,$02,$00
6,6993,osc1_control,$20,$00
6,7207,osc2_pw_lo,$5E,$C3
6,7446,osc1_freq_lo,$00,$27
6,7453,osc1_freq_hi,$00,$01
6,7474,osc1_pw_lo,$00,$72
6,7481,osc1_pw_hi,$00,$03
6,7491,osc1_control,$00,$20
--- Frame 6: 11 SID changes ---
7,7759,osc1_freq_lo,$27,$00
7,7766,osc1_freq_hi,$01,$00
7,7787,osc1_pw_lo,$72,$00
7,7794,osc1_pw_hi,$03,$00
7,7804,osc1_control,$20,$00
7,8058,osc2_pw_lo,$C3,$28
7,8065,osc2_pw_hi,$02,$03
7,8257,osc1_freq_lo,$00,$27
7,8264,osc1_freq_hi,$00,$01
7,8285,osc1_pw_lo,$00,$F0
7,8292,osc1_pw_hi,$00,$03
7,8302,osc1_control,$00,$20
--- Frame 7: 12 SID changes ---
8,8610,osc1_freq_lo,$27,$00
8,8617,osc1_freq_hi,$01,$00
8,8638,osc1_pw_lo,$F0,$00
8,8645,osc1_pw_hi,$03,$00
8,8655,osc1_control,$20,$00
8,8869,osc2_pw_lo,$28,$8D
8,9108,osc1_freq_lo,$00,$27
8,9115,osc1_freq_hi,$00,$01
8,9136,osc1_pw_lo,$00,$6E
8,9143,osc1_pw_hi,$00,$04
8,9153,osc1_control,$00,$20
--- Frame 8: 11 SID changes ---
9,9421,osc1_freq_lo,$27,$00
9,9428,osc1_freq_hi,$01,$00
9,9449,osc1_pw_lo,$6E,$00
9,9456,osc1_pw_hi,$04,$00
9,9466,osc1_control,$20,$00
9,9720,osc2_pw_lo,$8D,$F2
9,9919,osc1_freq_lo,$00,$27
9,9926,osc1_freq_hi,$00,$01
9,9947,osc1_pw_lo,$00,$EC
9,9954,osc1_pw_hi,$00,$04
9,9964,osc1_control,$00,$20
--- Frame 9: 11 SID changes ---
10,10272,osc1_freq_lo,$27,$00
10,10279,osc1_freq_hi,$01,$00
10,10300,osc1_pw_lo,$EC,$00
10,10307,osc1_pw_hi,$04,$00
10,10317,osc1_control,$20,$00
10,10531,osc2_pw_lo,$F2,$57
10,10538,osc2_pw_hi,$03,$04
10,10770,osc1_freq_lo,$00,$27
10,10777,osc1_freq_hi,$00,$01
10,10798,osc1_pw_lo,$00,$6A
10,10805,osc1_pw_hi,$00,$05
10,10815,osc1_control,$00,$20
--- Frame 10: 12 SID changes ---
11,11083,osc1_freq_lo,$27,$00
11,11090,osc1_freq_hi,$01,$00
11,11111,osc1_pw_lo,$6A,$00
11,11118,osc1_pw_hi,$05,$00
11,11128,osc1_control,$20,$00
11,11382,osc2_pw_lo,$57,$BC
11,11581,osc1_freq_lo,$00,$27
11,11588,osc1_freq_hi,$00,$01
11,11609,osc1_pw_lo,$00,$E8
11,11616,osc1_pw_hi,$00,$05
11,11626,osc1_control,$00,$20
--- Frame 11: 11 SID changes ---
12,11934,osc1_freq_lo,$27,$00
12,11941,osc1_freq_hi,$01,$00
12,11962,osc1_pw_lo,$E8,$00
12,11969,osc1_pw_hi,$05,$00
12,11979,osc1_control,$20,$00
12,12193,osc2_pw_lo,$BC,$21
12,12200,osc2_pw_hi,$04,$05
12,12432,osc1_freq_lo,$00,$27
12,12439,osc1_freq_hi,$00,$01
12,12460,osc1_pw_lo,$00,$66
12,12467,osc1_pw_hi,$00,$06
12,12477,osc1_control,$00,$20
--- Frame 12: 12 SID changes ---
13,12745,osc1_freq_lo,$27,$00
13,12752,osc1_freq_hi,$01,$00
13,12773,osc1_pw_lo,$66,$00
13,12780,osc1_pw_hi,$06,$00
13,12790,osc1_control,$20,$00
13,13044,osc2_pw_lo,$21,$86
13,13243,osc1_freq_lo,$00,$27
13,13250,osc1_freq_hi,$00,$01
13,13271,osc1_pw_lo,$00,$E4
13,13278,osc1_pw_hi,$00,$06
13,13288,osc1_control,$00,$20
--- Frame 13: 11 SID changes ---
14,13596,osc1_freq_lo,$27,$00
14,13603,osc1_freq_hi,$01,$00
14,13624,osc1_pw_lo,$E4,$00
14,13631,osc1_pw_hi,$06,$00
14,13641,osc1_control,$20,$00
14,13855,osc2_pw_lo,$86,$EB
14,14094,osc1_freq_lo,$00,$27
14,14101,osc1_freq_hi,$00,$01
14,14122,osc1_pw_lo,$00,$62
14,14129,osc1_pw_hi,$00,$07
14,14139,osc1_control,$00,$20
--- Frame 14: 11 SID changes ---
15,14407,osc1_freq_lo,$27,$00
15,14414,osc1_freq_hi,$01,$00
15,14435,osc1_pw_lo,$62,$00
15,14442,osc1_pw_hi,$07,$00
15,14452,osc1_control,$20,$00
15,14706,osc2_pw_lo,$EB,$50
15,14713,osc2_pw_hi,$05,$06
15,14905,osc1_freq_lo,$00,$27
15,14912,osc1_freq_hi,$00,$01
15,14933,osc1_pw_lo,$00,$E0
15,14940,osc1_pw_hi,$00,$07
15,14950,osc1_control,$00,$20
--- Frame 15: 12 SID changes ---
16,15258,osc1_freq_lo,$27,$00
16,15265,osc1_freq_hi,$01,$00
16,15286,osc1_pw_lo,$E0,$00
16,15293,osc1_pw_hi,$07,$00
16,15303,osc1_control,$20,$00
16,15517,osc2_pw_lo,$50,$B5
16,15756,osc1_freq_lo,$00,$27
16,15763,osc1_freq_hi,$00,$01
16,15784,osc1_pw_lo,$00,$5E
16,15791,osc1_pw_hi,$00,$08
16,15801,osc1_control,$00,$20
--- Frame 16: 11 SID changes ---
17,16069,osc1_freq_lo,$27,$00
17,16076,osc1_freq_hi,$01,$00
17,16097,osc1_pw_lo,$5E,$00
17,16104,osc1_pw_hi,$08,$00
17,16114,osc1_control,$20,$00
17,16368,osc2_pw_lo,$B5,$1A
17,16375,osc2_pw_hi,$06,$07
17,16567,osc1_freq_lo,$00,$27
17,16574,osc1_freq_hi,$00,$01
17,16595,osc1_pw_lo,$00,$DC
17,16602,osc1_pw_hi,$00,$08
17,16612,osc1_control,$00,$20
--- Frame 17: 12 SID changes ---
18,16920,osc1_freq_lo,$27,$00
18,16927,osc1_freq_hi,$01,$00
18,16948,osc1_pw_lo,$DC,$00
18,16955,osc1_pw_hi,$08,$00
18,16965,osc1_control,$20,$00
18,17179,osc2_pw_lo,$1A,$7F
18,17418,osc1_freq_lo,$00,$27
18,17425,osc1_freq_hi,$00,$01
18,17446,osc1_pw_lo,$00,$5A
18,17453,osc1_pw_hi,$00,$09
18,17463,osc1_control,$00,$20
--- Frame 18: 11 SID changes ---
19,17731,osc1_freq_lo,$27,$00
19,17738,osc1_freq_hi,$01,$00
19,17759,osc1_pw_lo,$5A,$00
19,17766,osc1_pw_hi,$09,$00
19,17776,osc1_control,$20,$00
19,18030,osc2_pw_lo,$7F,$E4
19,18229,osc1_freq_lo,$00,$27
19,18236,osc1_freq_hi,$00,$01
19,18257,osc1_pw_lo,$00,$D8
19,18264,osc1_pw_hi,$00,$09
19,18274,osc1_control,$00,$20
--- Frame 19: 11 SID changes ---
20,18582,osc1_freq_lo,$27,$00
20,18589,osc1_freq_hi,$01,$00
20,18610,osc1_pw_lo,$D8,$00
20,18617,osc1_pw_hi,$09,$00
20,18627,osc1_control,$20,$00
20,18841,osc2_pw_lo,$E4,$49
20,18848,osc2_pw_hi,$07,$08
20,19080,osc1_freq_lo,$00,$27
20,19087,osc1_freq_hi,$00,$01
20,19108,osc1_pw_lo,$00,$56
20,19115,osc1_pw_hi,$00,$0A
20,19125,osc1_control,$00,$20
--- Frame 20: 12 SID changes ---
21,19393,osc1_freq_lo,$27,$00
21,19400,osc1_freq_hi,$01,$00
21,19421,osc1_pw_lo,$56,$00
21,19428,osc1_pw_hi,$0A,$00
21,19438,osc1_control,$20,$00
21,19692,osc2_pw_lo,$49,$AE
21,19891,osc1_freq_lo,$00,$27
21,19898,osc1_freq_hi,$00,$01
21,19919,osc1_pw_lo,$00,$D4
21,19926,osc1_pw_hi,$00,$0A
21,19936,osc1_control,$00,$20
--- Frame 21: 11 SID changes ---
22,20244,osc1_freq_lo,$27,$00
22,20251,osc1_freq_hi,$01,$00
22,20272,osc1_pw_lo,$D4,$00
22,20279,osc1_pw_hi,$0A,$00
22,20289,osc1_control,$20,$00
22,20503,osc2_pw_lo,$AE,$13
22,20510,osc2_pw_hi,$08,$09
22,20742,osc1_freq_lo,$00,$27
22,20749,osc1_freq_hi,$00,$01
22,20770,osc1_pw_lo,$00,$52
22,20777,osc1_pw_hi,$00,$0B
