frame,cycle,register,old_val,new_val
0,2319,osc3_freq_lo,$00,$30
0,2326,osc3_freq_hi,$00,$FD
0,2364,osc3_control,$00,$80
0,2729,osc2_freq_lo,$00,$2F
0,2736,osc2_freq_hi,$00,$FD
0,2774,osc2_control,$00,$81
0,3139,osc1_freq_lo,$00,$2E
0,3146,osc1_freq_hi,$00,$FD
0,3184,osc1_control,$00,$80
0,3213,filter_res_control,$00,$F4
0,3223,filter_mode_volume,$00,$0F
1,3723,osc3_freq_lo,$30,$39
1,3730,osc3_freq_hi,$FD,$08
1,3737,osc3_sustain_release,$00,$01
1,3744,osc3_attack_decay,$00,$0F
1,3768,osc3_control,$80,$40
1,4168,osc2_freq_lo,$2F,$38
1,4175,osc2_freq_hi,$FD,$08
1,4213,osc2_control,$81,$40
1,4572,osc1_freq_lo,$2E,$37
1,4579,osc1_freq_hi,$FD,$08
1,4617,osc1_control,$80,$40
1,4679,filter_freq_hi,$00,$03
2,5054,osc3_freq_lo,$39,$EA
2,5061,osc3_freq_hi,$08,$06
2,5415,osc2_freq_lo,$38,$E9
2,5422,osc2_freq_hi,$08,$06
2,5736,osc1_freq_lo,$37,$E8
2,5783,osc1_freq_hi,$08,$06
2,5843,filter_freq_hi,$03,$05
3,6376,osc3_sustain_release,$01,$CB
3,6383,osc3_attack_decay,$0F,$07
3,6407,osc3_control,$40,$01
3,6753,osc2_sustain_release,$00,$A8
3,6760,osc2_attack_decay,$00,$02
3,7174,osc1_sustain_release,$00,$B9
3,7181,osc1_attack_decay,$00,$07
3,7205,osc1_control,$40,$09
3,7238,filter_freq_hi,$05,$02
3,7255,filter_mode_volume,$0F,$3F
4,7632,osc3_freq_lo,$EA,$42
4,7639,osc3_freq_hi,$06,$8B
4,7660,osc3_pw_lo,$00,$70
4,7667,osc3_pw_hi,$00,$06
4,7677,osc3_control,$01,$81
4,7935,osc2_freq_lo,$E9,$E5
4,7942,osc2_freq_hi,$06,$5C
4,8003,osc2_pw_lo,$00,$F0
4,8010,osc2_pw_hi,$00,$03
4,8020,osc2_control,$40,$81
4,8255,osc1_freq_lo,$E8,$D0
4,8262,osc1_freq_hi,$06,$22
4,8283,osc1_pw_lo,$00,$A0
4,8290,osc1_pw_hi,$00,$04
4,8300,osc1_control,$09,$21
4,8322,filter_freq_hi,$02,$6E
5,8646,osc3_freq_lo,$42,$39
5,8653,osc3_freq_hi,$8B,$09
5,8674,osc3_pw_lo,$70,$E0
5,8691,osc3_control,$81,$41
5,8873,osc2_freq_lo,$E5,$D1
5,8880,osc2_freq_hi,$5C,$22
5,8901,osc2_pw_lo,$F0,$E0
5,8908,osc2_pw_hi,$03,$04
5,8918,osc2_control,$81,$41
5,9197,osc1_pw_lo,$A0,$40
5,9204,osc1_pw_hi,$04,$05
5,9236,filter_freq_hi,$6E,$59
6,9503,osc3_freq_lo,$39,$9D
6,9510,osc3_freq_hi,$09,$04
6,9531,osc3_pw_lo,$E0,$50
6,9538,osc3_pw_hi,$06,$07
6,9806,osc2_freq_lo,$D1,$41
6,9813,osc2_freq_hi,$22,$8B
6,9834,osc2_pw_lo,$E0,$D0
6,9841,osc2_pw_hi,$04,$05
6,9851,osc2_control,$41,$11
6,10042,osc1_freq_lo,$D0,$A1
6,10049,osc1_freq_hi,$22,$1B
6,10070,osc1_pw_lo,$40,$E0
6,10109,filter_freq_hi,$59,$44
7,10476,osc3_pw_lo,$50,$C0
7,10805,osc2_freq_lo,$41,$D1
7,10812,osc2_freq_hi,$8B,$22
7,10833,osc2_pw_lo,$D0,$C0
7,10840,osc2_pw_hi,$05,$06
7,10850,osc2_control,$11,$41
7,11179,osc1_pw_lo,$E0,$80
7,11186,osc1_pw_hi,$05,$06
7,11218,filter_freq_hi,$44,$2F
8,11570,osc3_pw_lo,$C0,$30
8,11577,osc3_pw_hi,$07,$08
8,11843,osc2_pw_lo,$C0,$F0
8,12095,osc1_freq_lo,$A1,$39
8,12102,osc1_freq_hi,$1B,$17
8,12123,osc1_pw_lo,$80,$20
8,12130,osc1_pw_hi,$06,$07
8,12162,filter_freq_hi,$2F,$1A
9,12490,osc3_pw_lo,$30,$A0
9,12743,osc2_pw_lo,$F0,$20
9,12750,osc2_pw_hi,$06,$07
9,12760,osc2_control,$41,$11
9,13094,osc1_pw_lo,$20,$C0
9,13167,filter_freq_hi,$1A,$05
10,13478,osc3_pw_lo,$A0,$10
10,13485,osc3_pw_hi,$08,$09
10,13745,osc2_pw_lo,$20,$50
10,13762,osc2_control,$11,$40
10,13917,osc1_freq_lo,$39,$6E
10,13924,osc1_freq_hi,$17,$12
10,13945,osc1_pw_lo,$C0,$60
10,13952,osc1_pw_hi,$07,$08
10,13962,osc1_control,$21,$20
11,14312,osc3_pw_lo,$10,$80
11,14544,osc2_pw_lo,$50,$80
11,14561,osc2_control,$40,$10
11,14816,osc1_pw_lo,$60,$00
11,14823,osc1_pw_hi,$08,$09
11,14855,filter_freq_hi,$05,$06
12,15150,osc3_pw_lo,$80,$F0
12,15424,osc2_pw_lo,$80,$B0
12,15441,osc2_control,$10,$40
12,15632,osc1_freq_lo,$6E,$D0
12,15639,osc1_freq_hi,$12,$22
12,15660,osc1_pw_lo,$00,$A0
12,15699,filter_freq_hi,$06,$07
13,16034,osc3_pw_lo,$F0,$60
13,16041,osc3_pw_hi,$09,$0A
13,16400,osc2_control,$40,$10
13,16754,filter_freq_hi,$07,$08
14,17106,osc3_pw_lo,$60,$D0
14,17392,osc2_pw_lo,$B0,$C0
14,17449,osc2_control,$10,$40
14,17657,osc1_freq_lo,$D0,$A1
14,17664,osc1_freq_hi,$22,$1B
14,17685,osc1_pw_lo,$A0,$40
14,17692,osc1_pw_hi,$09,$0A
14,17724,filter_freq_hi,$08,$09
15,18052,osc3_pw_lo,$D0,$40
15,18059,osc3_pw_hi,$0A,$0B
15,18405,osc2_control,$40,$41
15,18786,osc1_control,$20,$09
15,18819,filter_freq_hi,$09,$0A
16,19147,osc3_pw_lo,$40,$B0
16,19422,osc2_freq_lo,$D1,$E5
16,19429,osc2_freq_hi,$22,$5C
16,19450,osc2_pw_lo,$C0,$F0
16,19457,osc2_pw_hi,$07,$03
16,19467,osc2_control,$41,$81
16,19691,osc1_freq_lo,$A1,$D0
16,19698,osc1_freq_hi,$1B,$22
16,19719,osc1_pw_lo,$40,$E0
16,19736,osc1_control,$09,$21
16,19758,filter_freq_hi,$0A,$0B
17,20046,osc3_pw_lo,$B0,$20
17,20053,osc3_pw_hi,$0B,$0C
17,20285,osc2_freq_lo,$E5,$D1
