Loaded: Rhaa_Lovely_II_tune_2.prg @ $1000
Mem[$18D7]: A9 03 8D 01 10 A9   (INIT)
Mem[$1377]: EE 44 10 A2 00 AD   (PLAY)
Calling INIT @ $18D7 (subtune 0)...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6F 
Running 200 frames via PLAY @ $1377...
frame,cycle,register,old_val,new_val
0,550,osc1_freq_hi,$00,$01
0,561,osc1_freq_lo,$00,$1C
0,820,osc2_freq_hi,$00,$01
0,831,osc2_freq_lo,$00,$1C
0,1050,osc3_freq_hi,$00,$01
0,1061,osc3_freq_lo,$00,$1C
--- Frame 0: 6 SID changes ---
--- Frame 1: 0 SID changes ---
2,2398,osc1_pw_hi,$00,$01
2,2464,osc1_attack_decay,$00,$08
2,2472,osc1_sustain_release,$00,$20
2,2526,osc1_freq_hi,$01,$05
2,2537,osc1_freq_lo,$1C,$47
2,2565,osc1_control,$00,$41
2,3098,osc2_freq_lo,$1C,$2D
2,3659,osc3_freq_lo,$1C,$2D
--- Frame 2: 8 SID changes ---
3,3860,osc1_control,$41,$81
3,3864,osc1_freq_hi,$05,$81
--- Frame 3: 2 SID changes ---
4,4457,osc1_freq_hi,$81,$05
4,4528,osc1_control,$81,$41
4,4544,osc1_pw_lo,$00,$80
--- Frame 4: 3 SID changes ---
5,5342,osc1_pw_lo,$80,$00
5,5355,osc1_pw_hi,$01,$02
--- Frame 5: 2 SID changes ---
6,6126,osc1_pw_lo,$00,$80
--- Frame 6: 1 SID changes ---
7,6924,osc1_pw_lo,$80,$00
7,6937,osc1_pw_hi,$02,$03
--- Frame 7: 2 SID changes ---
8,7682,osc1_pw_lo,$00,$80
--- Frame 8: 1 SID changes ---
9,8466,osc1_pw_lo,$80,$00
9,8479,osc1_pw_hi,$03,$04
--- Frame 9: 2 SID changes ---
10,9264,osc1_pw_lo,$00,$80
--- Frame 10: 1 SID changes ---
11,10022,osc1_pw_lo,$80,$00
11,10035,osc1_pw_hi,$04,$05
--- Frame 11: 2 SID changes ---
12,10846,osc1_pw_lo,$00,$80
--- Frame 12: 1 SID changes ---
13,11604,osc1_pw_lo,$80,$00
13,11617,osc1_pw_hi,$05,$06
--- Frame 13: 2 SID changes ---
14,12367,osc1_pw_lo,$00,$80
14,12632,osc1_control,$41,$00
14,12636,osc1_pw_lo,$80,$00
14,12648,osc1_pw_hi,$06,$01
14,12775,osc1_control,$00,$41
--- Frame 14: 5 SID changes ---
15,13472,osc1_control,$41,$81
15,13516,osc1_freq_hi,$05,$81
--- Frame 15: 2 SID changes ---
16,14109,osc1_freq_hi,$81,$05
16,14180,osc1_control,$81,$41
16,14196,osc1_pw_lo,$00,$80
--- Frame 16: 3 SID changes ---
17,14954,osc1_pw_lo,$80,$00
17,14967,osc1_pw_hi,$01,$02
--- Frame 17: 2 SID changes ---
18,15778,osc1_pw_lo,$00,$80
--- Frame 18: 1 SID changes ---
19,16536,osc1_pw_lo,$80,$00
19,16549,osc1_pw_hi,$02,$03
--- Frame 19: 2 SID changes ---
20,17294,osc1_pw_lo,$00,$80
--- Frame 20: 1 SID changes ---
21,18118,osc1_pw_lo,$80,$00
21,18131,osc1_pw_hi,$03,$04
--- Frame 21: 2 SID changes ---
22,18876,osc1_pw_lo,$00,$80
--- Frame 22: 1 SID changes ---
23,19674,osc1_pw_lo,$80,$00
23,19687,osc1_pw_hi,$04,$05
--- Frame 23: 2 SID changes ---
24,20458,osc1_pw_lo,$00,$80
--- Frame 24: 1 SID changes ---
25,21256,osc1_pw_lo,$80,$00
25,21269,osc1_pw_hi,$05,$06
--- Frame 25: 2 SID changes ---
26,22019,osc1_pw_lo,$00,$80
26,22244,osc1_control,$41,$00
26,22248,osc1_pw_lo,$80,$00
26,22260,osc1_pw_hi,$06,$01
26,22388,osc1_freq_hi,$05,$0A
26,22399,osc1_freq_lo,$47,$8F
26,22427,osc1_control,$00,$41
--- Frame 26: 7 SID changes ---
27,23124,osc1_control,$41,$81
27,23128,osc1_freq_hi,$0A,$81
--- Frame 27: 2 SID changes ---
28,23721,osc1_freq_hi,$81,$0A
28,23792,osc1_control,$81,$41
28,23808,osc1_pw_lo,$00,$80
--- Frame 28: 3 SID changes ---
29,24606,osc1_pw_lo,$80,$00
29,24619,osc1_pw_hi,$01,$02
--- Frame 29: 2 SID changes ---
30,25390,osc1_pw_lo,$00,$80
--- Frame 30: 1 SID changes ---
31,26148,osc1_pw_lo,$80,$00
31,26161,osc1_pw_hi,$02,$03
--- Frame 31: 2 SID changes ---
32,26946,osc1_pw_lo,$00,$80
--- Frame 32: 1 SID changes ---
33,27730,osc1_pw_lo,$80,$00
33,27743,osc1_pw_hi,$03,$04
--- Frame 33: 2 SID changes ---
34,28528,osc1_pw_lo,$00,$80
--- Frame 34: 1 SID changes ---
35,29286,osc1_pw_lo,$80,$00
35,29299,osc1_pw_hi,$04,$05
--- Frame 35: 2 SID changes ---
36,30110,osc1_pw_lo,$00,$80
--- Frame 36: 1 SID changes ---
37,30868,osc1_pw_lo,$80,$00
37,30881,osc1_pw_hi,$05,$06
--- Frame 37: 2 SID changes ---
38,31631,osc1_pw_lo,$00,$80
38,31896,osc1_control,$41,$00
38,31900,osc1_pw_lo,$80,$00
38,31912,osc1_pw_hi,$06,$01
38,32000,osc1_freq_hi,$0A,$05
38,32011,osc1_freq_lo,$8F,$47
38,32039,osc1_control,$00,$41
--- Frame 38: 7 SID changes ---
39,32736,osc1_control,$41,$81
39,32740,osc1_freq_hi,$05,$81
--- Frame 39: 2 SID changes ---
40,33333,osc1_freq_hi,$81,$05
40,33444,osc1_control,$81,$41
40,33460,osc1_pw_lo,$00,$80
--- Frame 40: 3 SID changes ---
41,34218,osc1_pw_lo,$80,$00
41,34231,osc1_pw_hi,$01,$02
--- Frame 41: 2 SID changes ---
42,35002,osc1_pw_lo,$00,$80
--- Frame 42: 1 SID changes ---
43,35800,osc1_pw_lo,$80,$00
43,35813,osc1_pw_hi,$02,$03
--- Frame 43: 2 SID changes ---
44,36558,osc1_pw_lo,$00,$80
44,36823,osc1_control,$41,$00
44,36827,osc1_pw_lo,$80,$00
44,36839,osc1_pw_hi,$03,$01
44,36927,osc1_freq_hi,$05,$04
44,36938,osc1_freq_lo,$47,$B4
44,36966,osc1_control,$00,$41
--- Frame 44: 7 SID changes ---
45,37653,osc1_control,$41,$81
45,37657,osc1_freq_hi,$04,$81
--- Frame 45: 2 SID changes ---
46,38250,osc1_freq_hi,$81,$04
46,38321,osc1_control,$81,$41
46,38337,osc1_pw_lo,$00,$80
--- Frame 46: 3 SID changes ---
47,39135,osc1_pw_lo,$80,$00
47,39148,osc1_pw_hi,$01,$02
--- Frame 47: 2 SID changes ---
48,39919,osc1_pw_lo,$00,$80
--- Frame 48: 1 SID changes ---
49,40717,osc1_pw_lo,$80,$00
49,40730,osc1_pw_hi,$02,$03
--- Frame 49: 2 SID changes ---
50,41475,osc1_pw_lo,$00,$80
--- Frame 50: 1 SID changes ---
51,42309,osc1_pw_lo,$80,$00
51,42322,osc1_pw_hi,$03,$04
--- Frame 51: 2 SID changes ---
52,43067,osc1_pw_lo,$00,$80
--- Frame 52: 1 SID changes ---
53,43825,osc1_pw_lo,$80,$00
53,43838,osc1_pw_hi,$04,$05
--- Frame 53: 2 SID changes ---
54,44649,osc1_pw_lo,$00,$80
--- Frame 54: 1 SID changes ---
55,45407,osc1_pw_lo,$80,$00
55,45420,osc1_pw_hi,$05,$06
--- Frame 55: 2 SID changes ---
56,46210,osc1_pw_lo,$00,$80
56,46435,osc1_control,$41,$00
56,46439,osc1_pw_lo,$80,$00
56,46451,osc1_pw_hi,$06,$01
56,46578,osc1_control,$00,$41
--- Frame 56: 5 SID changes ---
57,47305,osc1_control,$41,$81
57,47309,osc1_freq_hi,$04,$81
--- Frame 57: 2 SID changes ---
58,47902,osc1_freq_hi,$81,$04
58,47973,osc1_control,$81,$41
58,47989,osc1_pw_lo,$00,$80
--- Frame 58: 3 SID changes ---
59,48747,osc1_pw_lo,$80,$00
59,48760,osc1_pw_hi,$01,$02
--- Frame 59: 2 SID changes ---
60,49571,osc1_pw_lo,$00,$80
--- Frame 60: 1 SID changes ---
61,50329,osc1_pw_lo,$80,$00
61,50342,osc1_pw_hi,$02,$03
--- Frame 61: 2 SID changes ---
62,51127,osc1_pw_lo,$00,$80
62,51352,osc1_control,$41,$00
62,51356,osc1_pw_lo,$80,$00
62,51368,osc1_pw_hi,$03,$01
62,51495,osc1_control,$00,$41
--- Frame 62: 5 SID changes ---
63,52192,osc1_control,$41,$81
63,52236,osc1_freq_hi,$04,$81
--- Frame 63: 2 SID changes ---
64,52829,osc1_freq_hi,$81,$04
64,52900,osc1_control,$81,$41
64,52916,osc1_pw_lo,$00,$80
--- Frame 64: 3 SID changes ---
65,53674,osc1_pw_lo,$80,$00
65,53687,osc1_pw_hi,$01,$02
--- Frame 65: 2 SID changes ---
66,54498,osc1_pw_lo,$00,$80
--- Frame 66: 1 SID changes ---
67,55256,osc1_pw_lo,$80,$00
67,55269,osc1_pw_hi,$02,$03
--- Frame 67: 2 SID changes ---
68,56014,osc1_pw_lo,$00,$80
68,56279,osc1_control,$41,$00
68,56283,osc1_pw_lo,$80,$00
68,56295,osc1_pw_hi,$03,$01
68,56422,osc1_control,$00,$41
--- Frame 68: 5 SID changes ---
69,57109,osc1_control,$41,$81
69,57113,osc1_freq_hi,$04,$81
--- Frame 69: 2 SID changes ---
70,57706,osc1_freq_hi,$81,$04
70,57817,osc1_control,$81,$41
70,57833,osc1_pw_lo,$00,$80
--- Frame 70: 3 SID changes ---
71,58591,osc1_pw_lo,$80,$00
71,58604,osc1_pw_hi,$01,$02
--- Frame 71: 2 SID changes ---
72,59375,osc1_pw_lo,$00,$80
--- Frame 72: 1 SID changes ---
73,60173,osc1_pw_lo,$80,$00
73,60186,osc1_pw_hi,$02,$03
--- Frame 73: 2 SID changes ---
74,60931,osc1_pw_lo,$00,$80
74,61196,osc1_control,$41,$00
74,61200,osc1_pw_lo,$80,$00
74,61212,osc1_pw_hi,$03,$01
74,61300,osc1_freq_hi,$04,$09
74,61311,osc1_freq_lo,$B4,$68
