Loaded: Think_Twice_III.prg @ $B100
Mem[$BAC9]: A9 05 8D F4 B1 A9   (INIT)
Mem[$B5CA]: A5 FB 48 A5 FC 48   (PLAY)
Calling INIT @ $BAC9 (subtune 0)...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6F 
Running 200 frames via PLAY @ $B5CA...
frame,cycle,register,old_val,new_val
0,561,osc1_freq_hi,$00,$05
0,572,osc1_freq_lo,$00,$ED
0,632,osc1_control,$00,$41
0,648,osc1_pw_lo,$00,$FD
0,661,osc1_pw_hi,$00,$01
0,718,osc1_freq_lo,$ED,$F7
0,844,osc2_freq_hi,$00,$1D
0,855,osc2_freq_lo,$00,$DF
0,919,osc2_control,$00,$41
0,935,osc2_pw_lo,$00,$EC
0,948,osc2_pw_hi,$00,$03
0,1092,osc3_freq_hi,$00,$01
0,1103,osc3_freq_lo,$00,$1C
--- Frame 0: 13 SID changes ---
1,1419,osc1_freq_lo,$F7,$ED
1,1499,osc1_pw_lo,$FD,$14
1,1512,osc1_pw_hi,$01,$02
1,1569,osc1_freq_lo,$ED,$01
1,1576,osc1_freq_hi,$05,$06
1,1655,osc2_freq_hi,$1D,$23
1,1666,osc2_freq_lo,$DF,$86
1,1746,osc2_pw_lo,$EC,$30
1,1759,osc2_pw_hi,$03,$04
--- Frame 1: 9 SID changes ---
2,2219,osc1_freq_hi,$06,$05
2,2230,osc1_freq_lo,$01,$ED
2,2310,osc1_pw_lo,$14,$2B
2,2380,osc1_freq_lo,$ED,$0B
2,2387,osc1_freq_hi,$05,$06
2,2506,osc2_freq_hi,$23,$1A
2,2517,osc2_freq_lo,$86,$9C
2,2597,osc2_pw_lo,$30,$74
--- Frame 2: 8 SID changes ---
3,3070,osc1_freq_hi,$06,$05
3,3081,osc1_freq_lo,$0B,$ED
3,3161,osc1_pw_lo,$2B,$42
3,3231,osc1_freq_lo,$ED,$01
3,3238,osc1_freq_hi,$05,$06
3,3317,osc2_freq_hi,$1A,$1D
3,3328,osc2_freq_lo,$9C,$DF
3,3408,osc2_pw_lo,$74,$B8
--- Frame 3: 8 SID changes ---
4,3881,osc1_freq_hi,$06,$05
4,3892,osc1_freq_lo,$01,$ED
4,3968,osc1_pw_lo,$42,$59
4,4038,osc1_freq_lo,$ED,$F7
4,4232,osc1_control,$41,$00
4,4236,osc1_pw_lo,$59,$00
4,4248,osc1_pw_hi,$02,$01
4,4274,osc1_attack_decay,$00,$0F
4,4282,osc1_sustain_release,$00,$D0
4,4336,osc1_freq_hi,$05,$06
4,4347,osc1_freq_lo,$F7,$A7
4,4375,osc1_control,$00,$41
4,4451,osc2_freq_hi,$1D,$23
4,4462,osc2_freq_lo,$DF,$86
4,4542,osc2_pw_lo,$B8,$FC
4,4807,osc2_control,$41,$00
4,4811,osc2_pw_lo,$FC,$00
4,4823,osc2_pw_hi,$04,$01
4,4849,osc2_attack_decay,$00,$0A
