Loaded: Think_Twice_V.prg @ $1000
Mem[$1573]: A9 06 8D 01 10 A9   (INIT)
Mem[$13D7]: A5 FB 48 A5 FC 48   (PLAY)
Calling INIT @ $1573 (subtune 0)...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6F 
Running 200 frames via PLAY @ $13D7...
frame,cycle,register,old_val,new_val
0,552,osc1_freq_hi,$00,$05
0,563,osc1_freq_lo,$00,$47
0,623,osc1_control,$00,$41
0,639,osc1_pw_lo,$00,$20
0,652,osc1_pw_hi,$00,$04
0,834,osc2_freq_hi,$00,$35
0,846,osc2_freq_lo,$00,$39
0,910,osc2_pw_lo,$00,$40
0,923,osc2_pw_hi,$00,$0A
0,1065,osc3_freq_hi,$00,$1A
0,1077,osc3_freq_lo,$00,$9C
0,1137,osc3_control,$00,$41
0,1153,osc3_pw_lo,$00,$84
0,1166,osc3_pw_hi,$00,$0E
--- Frame 0: 14 SID changes ---
1,1474,osc1_pw_lo,$20,$40
1,1710,osc2_pw_lo,$40,$60
1,1905,osc3_freq_hi,$1A,$1F
1,1917,osc3_freq_lo,$9C,$A5
1,1993,osc3_pw_lo,$84,$F8
--- Frame 1: 5 SID changes ---
2,2274,osc1_pw_lo,$40,$60
2,2545,osc2_pw_lo,$60,$80
2,2615,osc2_freq_lo,$39,$6B
2,2700,osc3_freq_hi,$1F,$27
2,2712,osc3_freq_lo,$A5,$DF
2,2788,osc3_pw_lo,$F8,$6C
2,2801,osc3_pw_hi,$0E,$0F
--- Frame 2: 7 SID changes ---
3,3109,osc1_pw_lo,$60,$80
3,3276,osc2_freq_lo,$6B,$39
3,3340,osc2_pw_lo,$80,$A0
3,3410,osc2_freq_lo,$39,$9D
3,3495,osc3_freq_hi,$27,$1A
3,3507,osc3_freq_lo,$DF,$9C
3,3628,osc3_pw_lo,$6C,$E0
--- Frame 3: 7 SID changes ---
4,3909,osc1_pw_lo,$80,$A0
4,4116,osc2_freq_lo,$9D,$39
4,4180,osc2_pw_lo,$A0,$C0
4,4250,osc2_freq_lo,$39,$CF
4,4335,osc3_freq_hi,$1A,$1F
4,4347,osc3_freq_lo,$9C,$A5
4,4423,osc3_pw_lo,$E0,$54
4,4436,osc3_pw_hi,$0F,$10
--- Frame 4: 8 SID changes ---
5,4744,osc1_pw_lo,$A0,$C0
5,4968,osc1_control,$41,$00
5,4972,osc1_pw_lo,$C0,$00
5,4984,osc1_pw_hi,$04,$03
5,5010,osc1_attack_decay,$00,$09
5,5018,osc1_sustain_release,$00,$70
5,5111,osc1_control,$00,$41
5,5238,osc2_freq_lo,$CF,$39
5,5306,osc2_pw_lo,$C0,$E0
5,5376,osc2_freq_lo,$39,$01
5,5383,osc2_freq_hi,$35,$36
5,5534,osc2_pw_lo,$E0,$00
5,5546,osc2_pw_hi,$0A,$1C
5,5572,osc2_attack_decay,$00,$28
5,5580,osc2_sustain_release,$00,$01
5,5634,osc2_freq_hi,$36,$01
5,5645,osc2_freq_lo,$01,$1C
5,5673,osc2_control,$00,$03
5,5788,osc3_freq_hi,$1F,$27
5,5800,osc3_freq_lo,$A5,$DF
5,5876,osc3_pw_lo,$54,$C8
5,6100,osc3_control,$41,$00
5,6104,osc3_pw_lo,$C8,$00
5,6116,osc3_pw_hi,$10,$03
5,6142,osc3_attack_decay,$00,$09
5,6150,osc3_sustain_release,$00,$70
5,6204,osc3_freq_hi,$27,$02
5,6215,osc3_freq_lo,$DF,$A3
5,6243,osc3_control,$00,$41
--- Frame 5: 29 SID changes ---
6,6476,osc1_control,$41,$81
6,6480,osc1_freq_hi,$05,$81
6,6633,osc2_pw_lo,$00,$1C
6,6696,osc2_freq_hi,$01,$02
6,6707,osc2_freq_lo,$1C,$38
6,6800,osc2_freq_lo,$38,$0C
6,6807,osc2_freq_hi,$02,$01
6,6999,osc3_control,$41,$81
6,7003,osc3_freq_hi,$02,$81
--- Frame 6: 9 SID changes ---
7,7120,osc1_freq_hi,$81,$05
7,7191,osc1_control,$81,$41
7,7207,osc1_pw_lo,$00,$20
7,7362,osc2_freq_hi,$01,$02
7,7373,osc2_freq_lo,$0C,$F6
7,7477,osc2_pw_lo,$1C,$38
7,7539,osc2_freq_hi,$02,$01
7,7550,osc2_freq_lo,$F6,$1C
7,7652,osc2_freq_lo,$1C,$FC
7,7659,osc2_freq_hi,$01,$00
7,7737,osc3_freq_hi,$81,$02
7,7808,osc3_control,$81,$41
7,7824,osc3_pw_lo,$00,$20
--- Frame 7: 13 SID changes ---
8,8145,osc1_pw_lo,$20,$40
8,8300,osc2_freq_hi,$00,$01
8,8311,osc2_freq_lo,$FC,$DD
8,8375,osc2_pw_lo,$38,$54
8,8438,osc2_freq_hi,$01,$02
8,8449,osc2_freq_lo,$DD,$38
8,8582,osc2_freq_lo,$38,$EC
8,8589,osc2_freq_hi,$02,$00
8,8754,osc3_pw_lo,$20,$40
--- Frame 8: 9 SID changes ---
9,9035,osc1_pw_lo,$40,$60
9,9230,osc2_freq_hi,$00,$02
9,9241,osc2_freq_lo,$EC,$38
9,9305,osc2_pw_lo,$54,$70
9,9367,osc2_freq_hi,$02,$01
9,9378,osc2_freq_lo,$38,$1C
9,9476,osc2_freq_lo,$1C,$DC
9,9483,osc2_freq_hi,$01,$00
9,9688,osc3_pw_lo,$40,$60
--- Frame 9: 9 SID changes ---
10,9974,osc1_pw_lo,$60,$80
10,10129,osc2_freq_hi,$00,$01
10,10140,osc2_freq_lo,$DC,$66
10,10244,osc2_pw_lo,$70,$8C
10,10307,osc2_freq_hi,$01,$02
10,10318,osc2_freq_lo,$66,$38
10,10411,osc2_freq_lo,$38,$CC
