# SHA-256 manifest of all SF2 outputs after v3.5.54 (Phase 19) refactor.
# Generated 2026-05-25. 283/286 files (3 architectural CONV_FAILs:
# Echo_Beat / Crosswords / Magic_Sound).
# Format: <sha256>  <stem>.sf2  <size_bytes>
392d1856526bebaf6fbc8874a8e6a5b3cedd3714be5117b0ec3fcbdbbc83e2d6  1983_Sauna_Tango.sf2  7729
1181f8f4cf57aac386582ea7c87a92d220118ad907ff6c7de6389d4324e7b61c  2000_A_D.sf2  6659
879037c1f3d01b37a2646abb2767402bd7ab33422aa69680245aab1462420214  21_G4_demo_tune_1.sf2  9574
9ccfaaf663e6872ddba68fc5f87c8e9a4fbc3d0a5feb2ad50be631a62d189dd7  21_G4_demo_tune_2.sf2  8252
8d60760f4ed54c5a7f6f0ff18774ff433ab57873416e27b05fe3f73dc9e1c8cf  21_G4_demo_tune_3.sf2  8878
f973e9d3757f9cf998ec98a6d88c92eb3dfed551db778731fba14e27116134b4  3545_I.sf2  10472
3f69c1e3d9d40d6549e6c9e6e7e1a77fc20b37ca64158ac95531277a4e5828b5  3545_II.sf2  7083
d732a1997a92b3596289d39a1ab813ee094f8806ef755a785c2340c47e01a944  7-BITS.sf2  8642
007ecd4cfd8bd840e23273a3a4972d4341ccf61d3e53eca1efe309f0cd14d854  A_Trace_of_Space.sf2  13553
be45008eb00f9da77c1df15b171fcd3d3bfc78be0b9981e1bb060d76ff5420ca  Adventure.sf2  19743
68c60a7eb6e860313062b852a29ecd1151eece22690406f549ace94499fadaad  Aids_Trouble.sf2  51755
c1a0d4edf13687f745a74731e8598e1d43ad71c2ace94abb19a213b5739f2437  Aint_Somebody.sf2  9376
b17ebfe2ef9780d22d52ba632ead15b1c137caf3be11728dc0837b02d94e41d8  Alibi.sf2  20157
85bf2db5c09a9a0432c12989fd74f2123d419aca137bca8e535d1ed0120c4def  Alliance.sf2  61817
cc19c7356053b6277bea0f4f2d55b673c993fa63cd9537e6bdc9ff1e4c98e3b4  Annelouise.sf2  9513
f9ac1bdf058cf5383b6e610c60489d61c25fe261806d4d9995b68acddb336138  Arabian.sf2  18702
788ee773850f6d30d5c4ba075e7989c92c3aa5fea68b6d81f08f7d783d811dfe  Atmo_Spherical.sf2  19039
593982b5f160812a3d96b4c223f57ca2bc249bc1c80844d9a524c2a2a63d7237  Atom_Rock.sf2  18263
347032c685374b321e6c1566592c34896a00964c5502eb5b7ebe66e59ac98fbf  Ausfahrt_Asia.sf2  9085
